Problem,IVFSPEA2_formatted,IVFSPEA2_median,IVFSPEA2_indicator,IVFSPEA2_V1_DISSIM_formatted,IVFSPEA2_V1_DISSIM_median,IVFSPEA2_V1_DISSIM_indicator,IVFSPEA2_V2_COLLECTIVE_formatted,IVFSPEA2_V2_COLLECTIVE_median,IVFSPEA2_V2_COLLECTIVE_indicator,IVFSPEA2_V3_ETA10_formatted,IVFSPEA2_V3_ETA10_median,IVFSPEA2_V3_ETA10_indicator,IVFSPEA2_V4_ADAPTIVE_formatted,IVFSPEA2_V4_ADAPTIVE_median,IVFSPEA2_V4_ADAPTIVE_indicator,IVFSPEA2_V5_MUTATION_formatted,IVFSPEA2_V5_MUTATION_median,IVFSPEA2_V5_MUTATION_indicator,best_cfg
ZDT1(M=2),4.03(5.00)e-2,0.04030368452730368,,3.92(0.07)e-3,0.003922669806292499,+,3.91(0.07)e-3,0.003906583642435786,+,3.93(0.10)e-3,0.003934719000558489,+,3.90(0.05)e-3,0.0039022941065685037,+,3.94(0.07)e-3,0.003935872926474535,+,IVFSPEA2_V4_ADAPTIVE
ZDT6(M=2),3.07(0.03)e-3,0.0030730977298813675,,3.06(0.03)e-3,0.0030633525551588283,=,3.08(0.03)e-3,0.003081631747158664,=,3.07(0.02)e-3,0.003072241829056508,=,3.08(0.03)e-3,0.003075764607429315,=,3.07(0.03)e-3,0.0030687618094377414,=,IVFSPEA2_V1_DISSIM
WFG4(M=2),1.28(0.02)e-2,0.01280140609364297,,1.27(0.02)e-2,0.012734513074175939,+,1.27(0.02)e-2,0.012686144591528484,+,1.28(0.03)e-2,0.01278100752375659,=,1.27(0.02)e-2,0.012710256562700034,+,1.29(0.03)e-2,0.012866943726608385,=,IVFSPEA2_V2_COLLECTIVE
WFG9(M=2),1.70(0.34)e-2,0.016997324605983164,,1.57(0.20)e-2,0.01568382452076391,=,1.61(0.25)e-2,0.016113272161624566,=,1.59(0.16)e-2,0.01587809213661865,=,1.59(0.11)e-2,0.015853745202904106,=,1.53(0.23)e-2,0.015323596771155815,+,IVFSPEA2_V5_MUTATION
DTLZ1(M=3),2.01(0.02)e-2,0.020053134187746326,,2.02(0.02)e-2,0.02017834896539862,=,2.02(0.02)e-2,0.020154283669303087,-,2.01(0.01)e-2,0.02009540663140202,=,2.01(0.02)e-2,0.020132674812635976,=,2.01(0.02)e-2,0.020146702617123955,=,IVFSPEA2
DTLZ2(M=3),5.38(0.05)e-2,0.0537589739197452,,5.38(0.07)e-2,0.05376386099218458,=,5.38(0.06)e-2,0.05375396985816476,=,5.37(0.06)e-2,0.05369110042964989,=,5.39(0.07)e-2,0.05386121495408008,=,5.39(0.05)e-2,0.0539202280502673,=,IVFSPEA2_V3_ETA10
DTLZ4(M=3),5.47(48.66)e-2,0.05468795543742405,,5.48(48.67)e-2,0.05478881184585972,=,5.46(48.69)e-2,0.054631098701203785,=,5.46(48.67)e-2,0.05458979687304186,=,5.40(0.13)e-2,0.054002013469230545,+,5.47(48.68)e-2,0.054711660551066306,=,IVFSPEA2_V4_ADAPTIVE
DTLZ7(M=3),6.05(0.17)e-2,0.060498671596893754,,6.04(0.10)e-2,0.060417181539863675,=,6.05(0.22)e-2,0.060507987949316236,=,5.94(0.15)e-2,0.05936733561766672,+,5.97(0.16)e-2,0.05966487674616369,+,6.05(0.14)e-2,0.06047588025152337,=,IVFSPEA2_V3_ETA10
WFG2(M=3),1.74(0.07)e-1,0.17424273711646476,,1.77(0.08)e-1,0.17663647254624054,=,1.73(0.05)e-1,0.17308800673302388,=,1.74(0.06)e-1,0.17359200101365588,=,1.74(0.11)e-1,0.17441923747118548,=,1.73(0.08)e-1,0.1734098679410887,=,IVFSPEA2_V2_COLLECTIVE
WFG5(M=3),2.22(0.03)e-1,0.22169808115051287,,2.21(0.03)e-1,0.22093950711383992,=,2.21(0.02)e-1,0.22124069697217852,=,2.22(0.02)e-1,0.22211524697934165,=,2.22(0.02)e-1,0.2215368392730776,=,2.21(0.02)e-1,0.2214013556579683,=,IVFSPEA2_V1_DISSIM
MaF1(M=3),4.12(0.05)e-2,0.0412164905674161,,4.13(0.04)e-2,0.041336777918901876,=,4.14(0.05)e-2,0.041378532754848624,=,4.13(0.05)e-2,0.041287344206582574,=,4.14(0.06)e-2,0.041441146148713984,=,4.16(0.05)e-2,0.041562506907285794,-,IVFSPEA2
MaF5(M=3),2.46(12.49)e-1,0.24587243952478344,,2.47(12.48)e-1,0.24729709690352866,=,2.48(12.47)e-1,0.24783192117577074,=,8.71(17.78)e-1,0.8714798646950938,=,2.45(0.05)e-1,0.24483339477753463,=,2.46(17.78)e-1,0.2461296380456468,=,IVFSPEA2_V4_ADAPTIVE
