Problema,IVFSPEA2_median,SPEA2_median,MFOSPEA2_median,SPEA2SDE_median,NSGAII_median,NSGAIII_median,MOEAD_median,AGEMOEAII_median,ARMOEA_median
ZDT1,0.0038799710958828497,0.0039724770508656,0.003932360712559,0.00424145395749735,0.0048134719719566,0.0038878806727952,0.0039895438258663995,0.00461790007199755,0.00388810883154985
ZDT2,0.0038875277130227,0.003913216408325,0.003926850875145349,0.0060189851819605,0.00488342601723475,0.00380699497433535,0.0040016520294056,0.0046919492353113,0.0038074881948602
ZDT3,0.00484118787269235,0.0049225086321233,0.00488586391659265,0.005299191585119,0.00543020877621115,0.0061266858559565,0.01208174926733055,0.00577129340660765,0.0064366466558190005
ZDT4,0.003811880264409,0.00386323700889605,0.00383349196919955,0.0042476650827681,0.0045402121403301,0.00389494186495975,0.0048355154022776,0.0045627338742877,0.0038999792707929
ZDT6,0.0030593912328218,0.00309512631937595,0.00308472820513525,0.00342558135255985,0.00367337790159315,0.00300127030828525,0.0035386080642351003,0.00361689649427785,0.003001419063009
DTLZ1,0.0018257656624906002,0.0018341394130401,0.00183661332827075,0.00199981901758315,0.00220617013515125,0.0017859533733951501,0.0017866176021831002,0.00202766116504445,0.00178702710436745
DTLZ2,0.004121174652654399,0.00418100382446195,0.0041742493308982,0.00967132707170825,0.00512477643792005,0.0039660399534517995,0.0039658927857368,0.00449581607367235,0.00396651323268425
DTLZ3,0.00404793032667695,0.0042939187025745,0.00428139817264495,0.010068887886354749,0.0053100530778787,0.004224134315513351,0.0044009048698449,0.00454477957324525,0.00422288157468775
DTLZ4,0.0041117571637087,0.00416475354508685,0.0041663866503719,0.00982776324093855,0.0052006376520084,0.003966222191465,0.0039658892844507,0.00452935266990895,0.0039884811715271
DTLZ5,0.00412167735220955,0.0041740627226965,0.0041708235055463,0.0100404150192278,0.0050335122052038005,0.00396603492190995,0.0039658920670332005,0.00447703665771275,0.00396645323122725
DTLZ6,0.0040582664004898995,0.004093124659048,0.0040861637586819,0.0095097742299213,0.00565028091286595,0.00396597471975215,0.0039658788260367,0.0044584738877193,0.0039660495075855
DTLZ7,0.0047250799632879,0.00477429662951355,0.00472904650581585,0.005246063099682801,0.0053783927105526,0.005115477919686,0.0073954076098232,0.00524454831812835,0.0050516178532619
WFG1,0.02220968806110575,0.0292511404250795,0.10932635922185399,0.040805057919259605,0.02151315890381075,0.09692457427021331,0.03294773092169935,0.01985590162408795,0.1040889930223145
WFG2,0.0113765891255928,0.0110770246152068,0.010982887415591999,0.0135507943147699,0.0128882413460913,0.01384918923616945,0.0430509016715097,0.014377606503508899,0.013235111925649249
WFG3,0.01230257049461315,0.01203636143409715,0.01197467456677785,0.013095796459548649,0.0144707605467446,0.0113430390225476,0.0138148763157354,0.01320927457973255,0.01137430879259085
WFG4,0.0126262036669837,0.01289092475863135,0.012920829399379951,0.0323349528577896,0.015283197379981399,0.0122327852195762,0.015895708739143102,0.0137825269437323,0.01223738952436855
WFG5,0.06347150407651089,0.0636528201456833,0.0636532040761042,0.0756537078262362,0.06533915483313925,0.0633701901424739,0.06975245162667405,0.0639595132096594,0.06343058282860059
WFG6,0.0831309028729597,0.0763566150933066,0.08594432170082555,0.0904299262494413,0.08186288083710824,0.08299887844532189,0.08176564586361154,0.07768385333213085,0.076855996238612
WFG7,0.013183301150508201,0.0137131375253036,0.013672065828353449,0.03203027581523925,0.0169796672129474,0.01223427705149695,0.0153912994526467,0.013912101593156149,0.012242242849182749
WFG8,0.107386119374159,0.107477321109394,0.106898182091445,0.1131748058681935,0.108932323556415,0.1054052730489975,0.1087473819059975,0.106127239408399,0.10605472998992149
WFG9,0.0169391394263292,0.015918867012147703,0.015510008951258751,0.0324498167448734,0.018523800842144653,0.0145308525400785,0.03098498979873615,0.01597075147831935,0.015527028461205749
MaF1,0.0037353057061909,0.0038039315396105004,0.00380068672290195,0.0039788566597399,0.00462770949871615,0.0035707034893507497,0.0035705825091286,0.0040602630738276,0.0035708127555604497
MaF2,0.00211446515941885,0.0021890444626624997,0.0021783113983624,0.0023808991710207,0.00275875773385315,0.0020067651255082,0.0020121429649803,0.00253534402460055,0.00200792490787
MaF3,0.0037721026421917497,0.00420216846843205,0.00438693267686845,0.007758436133573601,0.004907900177715901,0.00642747863615535,0.01123942599924445,0.0047530368234117,0.0064812251789955
MaF4,0.01246390140349285,0.01266500027136085,0.01260784322450245,0.04087985681993505,0.0155245669278298,0.035082732739078595,0.187101159335668,0.0147849794874448,0.035076425830102606
MaF5,0.0127010501506136,0.01285372847248825,0.01287100572529145,0.032827319327849144,0.01595066348793275,0.0122310256646506,0.013102320983757201,0.01402773558841565,0.012231666642175
MaF6,0.0040509652012231,0.0040891875962685495,0.0040760679999338,0.0100249986169973,0.00496202570577085,0.00396609095403995,0.003965909664507151,0.0044888200006096505,0.0039667610087074
MaF7,0.0047247571071594,0.0047839910171274,0.00475738138663035,0.00517534843165725,0.0054252061173488,0.0051169374833777495,0.007380978454153151,0.00522752206388635,0.00505137025223765
