M,Reference,Algorithm,Wins,Losses,Ties,NumProblems
M2,IVFSPEA2,SPEA2,23,3,2,28
M2,IVFSPEA2,MFOSPEA2,21,4,3,28
M2,IVFSPEA2,SPEA2SDE,22,2,4,28
M2,IVFSPEA2,NSGAII,24,1,3,28
M2,IVFSPEA2,NSGAIII,17,8,3,28
M2,IVFSPEA2,MOEAD,24,3,1,28
M2,IVFSPEA2,AGEMOEAII,21,3,4,28
M2,IVFSPEA2,ARMOEA,18,7,3,28
M3,IVFSPEA2,SPEA2,20,1,2,23
M3,IVFSPEA2,MFOSPEA2,19,1,3,23
M3,IVFSPEA2,SPEA2SDE,8,15,0,23
M3,IVFSPEA2,NSGAII,22,1,0,23
M3,IVFSPEA2,NSGAIII,13,10,0,23
M3,IVFSPEA2,MOEAD,19,3,1,23
M3,IVFSPEA2,AGEMOEAII,5,16,2,23
M3,IVFSPEA2,ARMOEA,12,10,1,23
