Pair,Metric,ProblemTag,Problem,M,N_C26,N_A43,Median_C26,Median_A43,DirectionRaw,DeltaPct_C26_over_A43,P_raw,P_adj,Indicator,N_IVFSPEA2v1,Median_IVFSPEA2v1,DeltaPct_C26_over_IVFSPEA2v1,DeltaPct_A43_over_IVFSPEA2v1
C26_vs_A43,IGD,ZDT1_M2,ZDT1,2,30.0,30.0,0.0038973167191406997,0.0038958419533357503,-,-0.03785486738461412,0.9587314908134437,1.0,=,,,,
C26_vs_A43,IGD,ZDT6_M2,ZDT6,2,30.0,30.0,0.0030647271813414,0.00306235900985115,-,-0.07733160882286784,0.795845542466455,1.0,=,,,,
C26_vs_A43,IGD,DTLZ1_M3,DTLZ1,3,30.0,30.0,0.02011761932316215,0.02014662887958485,+,0.14399211201083756,0.3554724725943107,1.0,=,,,,
C26_vs_A43,IGD,DTLZ2_M3,DTLZ2,3,30.0,30.0,0.053564155768315705,0.0536969128102604,+,0.24723403077900552,0.6100075520376812,1.0,=,,,,
C26_vs_A43,IGD,DTLZ4_M3,DTLZ4,3,30.0,30.0,0.0544627314033871,0.05409984159850405,-,-0.6707779434479689,0.26432621279678536,1.0,=,,,,
C26_vs_A43,IGD,DTLZ7_M3,DTLZ7,3,30.0,30.0,0.060166893886008,0.059566038913145006,-,-1.0087207137260221,0.2837780479456242,1.0,=,,,,
C26_vs_A43,IGD,WFG2_M3,WFG2,3,30.0,30.0,0.18123891094682484,0.1787379398777329,-,-1.3992390595990725,0.0772719759293395,0.9272637111520741,=,,,,
C26_vs_A43,IGD,WFG4_M2,WFG4,2,30.0,30.0,0.0126330555004326,0.0127440162314202,+,0.8706888705463717,0.09925760823982568,1.0,=,,,,
C26_vs_A43,IGD,WFG5_M3,WFG5,3,30.0,30.0,0.22072668438835985,0.22016994650680605,-,-0.25286733743044876,0.25805149508623626,1.0,=,,,,
C26_vs_A43,IGD,WFG9_M2,WFG9,2,30.0,30.0,0.01672221079002745,0.01664312876250355,-,-0.47516322593183513,0.5493267842679926,1.0,=,,,,
C26_vs_A43,IGD,MaF1_M3,MaF1,3,30.0,30.0,0.040984317423559596,0.041002802203386146,+,0.04508174766900003,0.4289633888604326,1.0,=,,,,
C26_vs_A43,IGD,MaF5_M3,MaF5,3,30.0,30.0,0.24356644483857925,0.2449756795214563,+,0.5752549337264369,0.795845542466455,1.0,=,,,,
C26_vs_IVFSPEA2v1,IGD,ZDT1_M2,ZDT1,2,30.0,,0.0038973167191406997,,+,,0.20068519094615045,0.8027407637846018,=,60.0,0.0039090755406164,0.30080824362494624,
C26_vs_IVFSPEA2v1,IGD,ZDT6_M2,ZDT6,2,30.0,,0.0030647271813414,,+,,0.016743189169720955,0.10045913501832573,=,60.0,0.0030781681476957498,0.4366547150587416,
C26_vs_IVFSPEA2v1,IGD,DTLZ1_M3,DTLZ1,3,30.0,,0.02011761932316215,,-,,0.7940493990677012,0.8027407637846018,=,60.0,0.02010401065184195,-0.06769132565572067,
C26_vs_IVFSPEA2v1,IGD,DTLZ2_M3,DTLZ2,3,30.0,,0.053564155768315705,,+,,0.0005357780869014631,0.005893558955916095,+,60.0,0.0539332882596589,0.6844242271415532,
C26_vs_IVFSPEA2v1,IGD,DTLZ4_M3,DTLZ4,3,30.0,,0.0544627314033871,,+,,0.008489459954956648,0.06791567963965318,=,60.0,0.5408294185159774,89.92977646208088,
C26_vs_IVFSPEA2v1,IGD,DTLZ7_M3,DTLZ7,3,30.0,,0.060166893886008,,-,,0.23583934963714015,0.8027407637846018,=,60.0,0.0596443382492015,-0.8761194308556187,
C26_vs_IVFSPEA2v1,IGD,WFG2_M3,WFG2,3,30.0,,0.18123891094682484,,-,,0.021071156711171338,0.10535578355585669,=,60.0,0.17837821166843643,-1.603726851856656,
C26_vs_IVFSPEA2v1,IGD,WFG4_M2,WFG4,2,30.0,,0.0126330555004326,,+,,0.004310510869655126,0.038794597826896135,+,60.0,0.01276050679590485,0.9987949343293473,
C26_vs_IVFSPEA2v1,IGD,WFG5_M3,WFG5,3,30.0,,0.22072668438835985,,+,,0.0018095421862238895,0.018095421862238895,+,60.0,0.22181404754014605,0.4902138362492128,
C26_vs_IVFSPEA2v1,IGD,WFG9_M2,WFG9,2,30.0,,0.01672221079002745,,-,,0.37568315405142516,0.8027407637846018,=,60.0,0.01623756027150415,-2.984749620137393,
C26_vs_IVFSPEA2v1,IGD,MaF1_M3,MaF1,3,30.0,,0.040984317423559596,,+,,1.2968687627955566e-06,1.556242515354668e-05,+,60.0,0.041446405644428155,1.1149054150385167,
C26_vs_IVFSPEA2v1,IGD,MaF5_M3,MaF5,3,30.0,,0.24356644483857925,,+,,0.013536554786898213,0.09475588350828748,=,60.0,1.4915161412562983,83.6698753636401,
A43_vs_IVFSPEA2v1,IGD,ZDT1_M2,ZDT1,2,,30.0,,0.0038958419533357503,+,,0.2129976004162516,1.0,=,60.0,0.0039090755406164,,0.3385349590497615
A43_vs_IVFSPEA2v1,IGD,ZDT6_M2,ZDT6,2,,30.0,,0.00306235900985115,+,,0.03342310374078477,0.23396172618549338,=,60.0,0.0030781681476957498,,0.5135891571236659
A43_vs_IVFSPEA2v1,IGD,DTLZ1_M3,DTLZ1,3,,30.0,,0.02014662887958485,-,,0.20371347153196429,1.0,=,60.0,0.02010401065184195,,-0.2119886846508109
A43_vs_IVFSPEA2v1,IGD,DTLZ2_M3,DTLZ2,3,,30.0,,0.0536969128102604,+,,0.003372974667780632,0.030356772010025686,+,60.0,0.0539332882596589,,0.4382737582408933
A43_vs_IVFSPEA2v1,IGD,DTLZ4_M3,DTLZ4,3,,30.0,,0.05409984159850405,+,,0.0007338547916611218,0.007338547916611218,+,60.0,0.5408294185159774,,89.99687521678227
A43_vs_IVFSPEA2v1,IGD,DTLZ7_M3,DTLZ7,3,,30.0,,0.059566038913145006,+,,0.9012293342588935,1.0,=,60.0,0.0596443382492015,,0.13127706393412847
A43_vs_IVFSPEA2v1,IGD,WFG2_M3,WFG2,3,,30.0,,0.1787379398777329,-,,0.7096504193092599,1.0,=,60.0,0.17837821166843643,,-0.20166600277679858
A43_vs_IVFSPEA2v1,IGD,WFG4_M2,WFG4,2,,30.0,,0.0127440162314202,+,,0.26768147475636483,1.0,=,60.0,0.01276050679590485,,0.1292312660335964
A43_vs_IVFSPEA2v1,IGD,WFG5_M3,WFG5,3,,30.0,,0.22016994650680605,+,,2.6893520145555938e-05,0.00032272224174667124,+,60.0,0.22181404754014605,,0.7412069035178852
A43_vs_IVFSPEA2v1,IGD,WFG9_M2,WFG9,2,,30.0,,0.01664312876250355,-,,0.10852641278506601,0.6511584767103961,=,60.0,0.01623756027150415,,-2.49771815604063
A43_vs_IVFSPEA2v1,IGD,MaF1_M3,MaF1,3,,30.0,,0.041002802203386146,+,,0.00035228146907737587,0.0038750961598511347,+,60.0,0.041446405644428155,,1.0703061801009155
A43_vs_IVFSPEA2v1,IGD,MaF5_M3,MaF5,3,,30.0,,0.2449756795214563,+,,0.008489459954956648,0.06791567963965318,=,60.0,1.4915161412562983,,83.57539199575042
